     8.000     8.000     7.000     5.000     2.000     2.000     7.000     8.000     7.000     7.000     5.000     5.000     5.000     8.000     9.000     9.000 12718.000     1.499    -0.384     1.075     0.938     1.599     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     5.000     6.000     5.000     4.000     4.000     3.000     7.000     5.000     6.000     6.000     6.000     5.000     7.000     8.000     8.000     8.000 13041.000    -0.311     0.002    -0.122     1.250     1.919     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     5.000     7.000     8.000     6.000     3.000     2.000     6.000    10.000     8.000     5.000     5.000     5.000     8.000     8.000     8.000     7.000 13162.000     0.615    -0.091     1.756     0.788     2.065     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     8.000     7.000     8.000     5.000     4.000     4.000    10.000    10.000    10.000     9.000     7.000     7.000     5.000     4.000     7.000     5.000 13600.000     1.685     0.839     3.224     2.377     0.380     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     4.000     5.000     5.000     4.000     2.000     3.000     1.000     7.000     5.000     8.000     5.000     5.000     8.000     8.000     9.000     8.000 13795.000    -0.962    -0.323    -1.068     1.034     2.204     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     5.000     5.000     5.000     4.000     1.000     3.000     6.000     4.000     6.000     3.000     3.000     3.000     7.000     7.000     5.000     6.000 13839.000    -0.834    -0.437    -0.693    -0.951     0.541     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     7.000     7.000     7.000     6.000     4.000     4.000     8.000     8.000     7.000     5.000     5.000     5.000     6.000     5.000     7.000     7.000 13892.000     1.025     0.930     1.279     0.647     0.571     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     6.000     6.000     8.000     6.000     2.000     3.000     5.000     7.000     5.000     7.000     7.000     7.000     7.000     9.000     9.000     9.000 13893.000     0.674     0.168    -0.192     2.382     2.706     0.567     0.079     0.588     0.578     0.371     5.767     6.300     5.705     4.987     3.080     2.774     6.167     6.359     5.849     5.065     4.173     4.163     4.458     5.950     6.155     6.128 38
     5.000     7.000     7.000     2.000     3.000     3.000     6.000     5.000     6.000     5.000     5.000     3.000     2.000     5.000     4.000     4.000  8439.000     0.735    -0.421     0.137     0.333    -0.435    -0.155     0.045    -0.027     0.090    -0.157     5.045     5.594     4.989     4.953     3.022     2.768     5.552     5.662     5.266     4.578     3.743     3.732     3.930     4.634     4.707     4.512 21
     6.000     7.000     8.000     4.000     4.000     2.000    10.000    10.000     8.000     8.000     7.000     7.000     8.000     8.000     1.000     4.000  8502.000     1.628    -0.228     3.090     2.818     2.412    -0.155     0.045    -0.027     0.090    -0.157     5.045     5.594     4.989     4.953     3.022     2.768     5.552     5.662     5.266     4.578     3.743     3.732     3.930     4.634     4.707     4.512 21
     3.000     8.000     5.000     5.000     2.000     3.000     5.000     5.000     3.000     0.000     0.000     2.000     1.000     7.000     2.000     2.000  8519.000    -0.183    -0.069    -1.095    -2.585    -1.431    -0.155     0.045    -0.027     0.090    -0.157     5.045     5.594     4.989     4.953     3.022     2.768     5.552     5.662     5.266     4.578     3.743     3.732     3.930     4.634     4.707     4.512 21
